;ESTACION;MAGNITUD;ANO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31
277;35;14;2021;3;39;V;46;V;27;V;12;V;33;V;52;V;58;V;27;V;47;V;37;V;35;V;39;V;38;V;48;V;56;V;57;V;55;V;57;V;55;V;66;V;58;V;33;V;34;V;45;V;39;V;46;V;53;V;64;V;64;V;60;V;56;V
278;35;14;2021;4;68;V;53;V;37;V;64;V;61;V;42;V;63;V;52;V;41;V;52;V;49;V;56;V;39;V;46;V;55;V;59;V;75;V;73;V;44;V;45;V;53;V;47;V;55;V;63;V;48;V;40;V;39;V;43;V;59;V;57;V;0;N
279;35;14;2021;5;57;V;67;V;63;V;57;V;56;V;43;V;51;V;51;V;56;V;55;V;63;V;61;V;62;V;74;V;48;V;28;V;71;V;58;V;74;V;77;V;51;V;86;V;74;V;69;V;82;V;81;V;70;V;73;V;78;V;85;V;67;V
280;35;14;2021;6;69;V;77;V;83;V;71;V;65;V;71;V;71;V;75;V;76;V;94;V;82;V;98;V;98;V;105;V;94;V;94;V;71;V;68;V;80;V;69;V;65;V;53;V;69;V;88;V;87;V;84;V;86;V;80;V;88;V;83;V;0;N
281;35;14;2021;7;76;V;73;V;66;V;76;V;68;V;45;V;61;V;66;V;71;V;78;V;84;V;71;V;63;V;65;V;82;V;82;V;95;V;102;V;91;V;84;V;95;V;91;V;70;V;83;V;83;V;79;V;82;V;79;V;85;V;96;V;69;V
282;35;14;2021;8;65;V;80;V;70;V;73;V;69;V;69;V;78;V;74;V;69;V;72;V;57;V;80;V;65;V;53;V;70;V;88;V;82;V;82;V;82;V;78;V;74;V;78;V;73;V;70;V;86;V;84;V;82;V;89;V;78;V;71;V;62;V
283;35;14;2021;9;59;V;49;V;62;V;77;V;67;V;45;V;60;V;59;V;55;V;58;V;52;V;45;V;33;V;32;V;46;V;41;V;51;V;55;V;59;V;50;V;50;V;52;V;58;V;41;V;60;V;67;V;39;V;53;V;56;V;64;V;0;N
284;35;14;2021;10;54;V;59;V;58;V;56;V;45;V;43;V;44;V;28;V;65;V;66;V;55;V;63;V;53;V;53;V;50;V;39;V;68;V;32;V;42;V;61;V;56;V;61;V;56;V;46;V;34;V;54;V;32;V;39;V;49;V;48;V;44;V
285;35;14;2021;11;65;V;60;V;63;V;38;V;49;V;48;V;30;V;25;V;31;V;42;V;14;V;34;V;28;V;32;V;50;V;24;V;46;V;36;V;39;V;41;V;33;V;18;V;27;V;26;V;27;V;25;V;61;V;70;V;57;V;21;N;0;N
286;35;14;2021;12;25;V;52;V;42;V;40;V;71;V;61;V;28;V;73;V;64;V;62;V;44;V;16;V;14;V;16;V;14;V;17;V;20;V;24;V;35;V;9;V;10;V;21;V;20;V;25;V;45;V;40;V;61;V;54;V;23;V;10;V;11;V
287;36;1;2021;1;3;V;4;V;4;V;3;V;6;V;7;V;4;V;4;V;7;V;7;V;6;V;15;V;7;V;10;V;10;V;9;V;12;V;10;V;7;V;6;V;4;V;3;V;3;V;3;V;3;V;3;V;4;N;3;V;3;V;3;V;3;V
288;36;1;2021;2;3;V;3;V;3;V;0;N;0;N;5;N;4;V;3;V;3;V;3;V;3;V;3;V;6;V;9;V;12;V;8;V;6;V;5;V;5;V;7;V;7;V;6;V;7;V;12;V;8;V;8;V;9;V;9;V;0;N;0;N;0;N
289;36;1;2021;3;9;V;16;V;13;V;9;V;8;V;12;V;7;V;5;V;7;V;5;V;5;V;5;V;6;V;9;V;6;V;9;V;8;V;6;V;5;V;11;V;7;V;12;V;8;V;6;V;6;V;5;V;8;V;11;V;8;V;13;V;15;V
290;36;1;2021;4;7;V;4;V;6;V;8;V;5;V;5;V;6;V;11;V;11;V;6;V;5;V;12;V;6;V;7;V;12;V;8;V;6;V;5;V;5;V;7;V;5;V;5;V;13;V;15;V;7;V;5;V;5;V;5;V;4;V;4;V;0;N
291;36;1;2021;5;5;V;8;V;9;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;5;V;4;V;4;V;5;V;4;V;4;V;4;V;4;V;5;V;5;V;5;V;5;V;4;V;5;V
292;36;1;2021;6;4;V;5;V;5;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;4;V;0;N
